Causes of death,Year,under 1 year_Male,1 to under 15 years_Male,15 to under 20 years_Male,20 to under 25 years_Male,25 to under 30 years_Male,30 to under 35 years_Male,35 to under 40 years_Male,40 to under 45 years_Male,45 to under 50 years_Male,50 to under 55 years_Male,55 to under 60 years_Male,60 to under 65 years_Male,65 to under 70 years_Male,70 to under 75 years_Male,75 to under 80 years_Male,80 to under 85 years_Male,85 years and over_Male,under 1 year_Female,1 to under 15 years_Female,15 to under 20 years_Female,20 to under 25 years_Female,25 to under 30 years_Female,30 to under 35 years_Female,35 to under 40 years_Female,40 to under 45 years_Female,45 to under 50 years_Female,50 to under 55 years_Female,55 to under 60 years_Female,60 to under 65 years_Female,65 to under 70 years_Female,70 to under 75 years_Female,75 to under 80 years_Female,80 to under 85 years_Female,85 years and over_Female
"Malig. neopl. of rectum,anus,rectosigmoid junction",2010,-,-,-,2,1,2,11,43,120,190,326,479,678,976,806,607,456,-,-,-,1,4,8,11,34,65,119,150,230,312,526,496,593,1029
"Malignant neoplasms of liver, bile ducts, pancreas",2010,1,3,1,3,15,14,37,115,268,600,1014,1358,2123,2959,2308,1715,1094,-,1,4,-,6,12,21,72,175,340,606,747,1305,2118,2206,2294,2618
"Malig. neoplasms of liver, intrahepatic bile ducts",2010,-,2,1,2,10,7,8,30,76,215,345,491,778,1128,832,599,332,-,1,3,-,4,4,6,21,30,71,123,146,268,408,428,479,542
Malignant neoplasms of pancreas,2010,-,1,-,1,4,5,26,73,174,341,588,781,1158,1578,1253,940,615,-,-,1,-,1,8,10,42,123,219,400,501,843,1380,1420,1425,1577
"Malig. neoplasms of larynx,trachea,bronchus,lung",2010,3,-,3,4,8,12,55,170,636,1613,2644,3299,5146,6227,5102,3793,1927,1,-,1,-,5,15,46,162,433,928,1310,1622,1979,2130,1905,1769,1509
Malignant neoplasms of bronchus and lung,2010,3,-,3,4,7,11,54,161,592,1508,2502,3136,4926,6012,4935,3660,1843,1,-,1,-,4,14,45,160,428,910,1288,1607,1948,2096,1887,1742,1484
Melanoma and other malignant neoplasms of skin,2010,-,-,2,2,7,14,32,50,85,117,130,158,214,333,279,278,213,-,-,1,2,8,12,23,48,66,69,84,82,119,174,160,201,369
Malignant melanoma of skin,2010,-,-,2,2,7,14,28,48,81,105,113,147,198,267,232,207,117,-,-,1,2,7,11,23,45,65,63,79,75,105,152,130,171,214
Malignant neoplasms of breast,2010,-,-,-,-,-,-,-,4,1,4,8,16,16,19,12,16,11,-,-,-,3,15,69,187,388,755,965,1263,1465,1997,2599,2178,2383,3199
"Malig. neoplasms of genital organs, urinary tract",2010,-,4,2,5,20,29,31,67,205,394,707,1181,2253,3841,4068,4533,4306,1,5,4,7,25,34,93,218,424,653,839,1028,1622,2429,2384,2642,3294
Malignant neoplasms of cervix uteri,2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,7,20,46,98,147,163,149,134,136,173,139,139,171
"Malig. neopl. of corpus uteri,uterus, part unspec.",2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,7,13,41,63,133,156,299,418,377,389,535
Malignant neoplasms of ovary,2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,3,8,10,29,71,173,273,374,461,683,996,868,843,803
Malignant neoplasms of prostate,2010,-,-,-,1,-,2,1,1,34,100,260,556,1233,2246,2452,2903,2887,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Malignant neoplasms of kidney, except renal pelvis",2010,-,4,-,-,4,7,7,34,68,142,217,274,405,590,553,479,312,-,4,-,-,4,-,2,8,31,53,67,96,200,329,400,451,506
Malignant neoplasms of bladder,2010,-,-,-,-,-,2,2,8,41,76,125,193,356,600,684,748,796,-,-,-,-,4,-,3,8,17,33,40,68,118,195,274,417,708
"Malig. neopl.of lymphoid,haematopoietic,rel.tissue",2010,3,25,32,38,29,35,53,117,207,284,436,651,1167,1814,1692,1593,1084,4,27,18,22,27,24,32,67,124,162,271,431,750,1257,1489,1757,1832
Leukaemia,2010,3,20,20,29,20,19,20,47,80,124,153,244,481,748,739,712,483,4,24,15,16,18,15,20,36,58,66,118,162,287,469,544,654,798
Benign neoplasms,2010,-,1,-,1,1,2,3,3,4,7,13,14,9,29,40,34,25,-,3,-,1,-,1,1,2,6,5,8,15,16,26,49,54,98
Diseases of the blood and blood-forming organs,2010,6,7,1,5,7,8,6,13,22,33,49,41,96,154,174,196,241,8,12,1,2,6,8,2,8,21,23,24,38,57,126,217,329,647
"Endocrine, nutritional and metabolic diseases",2010,16,37,14,26,25,42,68,156,277,414,660,755,1056,1828,2005,2163,2448,11,14,6,12,34,19,36,70,122,202,271,382,631,1366,2117,3312,8638
Diabetes mellitus,2010,-,1,3,8,11,22,37,88,167,263,451,563,857,1534,1728,1847,1999,-,-,1,2,8,7,11,24,48,104,142,243,435,1083,1715,2759,6970
Mental and behavioural disorders,2010,-,1,8,36,102,160,208,344,591,693,719,570,675,891,1091,1635,2653,2,4,4,12,24,34,37,88,143,189,185,199,294,531,1009,2400,9547
Mental and behav. disorders due to use of alcohol,2010,-,-,1,3,25,45,101,241,479,612,641,475,484,377,202,120,44,-,-,1,1,1,8,19,50,108,149,144,149,136,129,63,33,72
Mental a.behav. dis. due to oth. psychoactive sub.,2010,-,-,6,31,76,111,103,95,87,52,27,7,7,8,3,1,1,-,-,1,7,18,20,10,26,23,13,12,2,4,7,5,5,6
Diseases of the nervous system and sensory organs,2010,28,69,51,67,55,81,88,171,299,345,446,494,862,1548,1861,2181,1893,24,62,23,38,14,31,46,114,181,263,324,376,653,1077,1509,2323,4271
Meningitis,2010,2,1,-,1,-,1,2,2,5,4,3,5,3,15,8,14,8,1,1,1,-,-,-,-,2,1,4,1,1,8,6,9,20,13
Diseases of the circulatory system,2010,11,44,39,76,115,171,398,1123,2341,3894,5686,7208,12169,20765,25075,30614,39742,22,33,30,52,69,86,189,430,812,1241,1826,2557,4910,11669,20432,39779,119081
Hypertensive diseases,2010,-,1,-,3,1,6,14,42,93,162,246,307,560,1032,1401,1999,3580,-,2,-,-,1,2,2,18,33,61,99,141,305,881,1743,4011,15520
Ischaemic heart diseases,2010,1,2,-,11,17,49,134,506,1172,2009,2960,3678,6015,10102,11638,13383,15726,-,-,-,4,9,10,35,102,233,419,660,998,1867,4290,7230,13216,36650
Acute or subsequent myocardial infarction,2010,-,1,-,9,14,41,112,396,910,1470,2071,2333,3486,5412,5469,5642,5609,-,-,-,3,4,7,24,83,184,300,446,665,1147,2391,3470,5487,11921
Other forms of heart disease,2010,7,18,26,37,53,55,114,253,483,829,1069,1371,2163,3605,4508,6157,9856,14,22,16,17,23,21,44,88,141,251,366,522,948,2243,4185,9124,32423
Other diseases of endocardium,2010,1,2,2,1,7,5,21,24,39,59,97,144,279,563,788,947,1116,2,-,-,1,-,3,4,10,15,24,42,68,137,405,821,1576,3734
Cerebrovascular diseases,2010,-,15,7,13,20,29,52,145,302,425,653,902,1791,3283,4294,5362,6283,5,5,6,7,18,22,58,118,230,301,378,474,941,2418,4292,8011,20690
"Stroke, not specified as haemorrhage or infarction",2010,-,2,-,1,3,2,5,10,30,77,161,226,524,1013,1502,2085,2781,-,-,-,-,-,-,2,7,17,21,55,87,218,716,1488,3185,9457
"Diseases of arteries, arterioles and capillaries",2010,-,3,1,1,6,11,21,57,79,177,316,417,791,1354,1489,1771,2193,-,2,1,2,5,6,9,21,35,65,122,147,291,589,958,1915,6385
Diseases of the respiratory system,2010,12,20,18,23,23,36,55,120,275,503,907,1464,2805,4927,5857,7127,7837,1,23,10,16,11,20,34,83,173,313,528,818,1474,2519,3669,5595,13219
Influenza,2010,-,1,-,1,2,3,5,4,7,6,10,7,5,5,4,3,1,-,4,1,2,1,-,2,1,5,3,5,2,4,4,6,3,8
Pneumonia,2010,2,5,6,11,7,8,20,47,75,140,192,309,611,1204,1560,2156,3133,1,6,4,5,6,10,12,24,44,60,74,130,251,594,1055,1894,6071
Chronic lower respiratory diseases,2010,1,4,3,4,5,10,12,42,130,261,544,896,1693,2745,3161,3578,3159,-,3,3,7,2,4,11,37,82,187,350,611,968,1423,1914,2574,4236
Asthma,2010,-,1,1,2,2,4,6,12,22,29,38,40,54,61,77,77,79,-,-,3,4,2,3,7,11,17,29,44,45,54,71,73,126,230
"COVID-19, virus detected",2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"COVID-19, virus not detected",2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Diseases of the digestive system,2010,11,12,5,18,40,83,212,616,1118,1553,1913,1872,2271,3090,2749,2760,2850,5,10,4,8,22,34,82,246,479,673,833,925,1297,1969,2555,4012,8357
"Gastric, duodenal, peptic, gastrojejunal ulcer",2010,-,-,1,1,2,-,10,7,24,50,52,71,114,185,216,213,316,-,1,-,-,-,-,2,3,13,14,34,26,72,125,170,356,869
Diseases of liver,2010,3,3,-,1,27,58,150,478,851,1172,1457,1294,1329,1480,900,576,314,1,-,3,2,10,19,55,183,361,511,579,615,641,729,567,528,516
"Alcohol. liver dis.,chr. hepatitis,fibrosis,cirrh.",2010,-,2,-,-,25,57,142,464,824,1141,1388,1244,1269,1408,821,510,249,-,-,1,2,6,17,52,179,337,496,550,589,597,656,481,436,373
Diseases of the skin and subcutaneous tissue,2010,-,-,-,-,-,-,2,3,6,10,11,21,28,57,67,76,93,-,-,-,1,2,1,-,5,4,12,6,17,40,60,81,137,401
Diseases of musculoskeletal sys. a. connec. tissue,2010,-,7,3,2,-,7,6,14,18,37,44,69,98,172,189,189,168,-,2,4,4,7,4,7,15,17,29,43,69,118,215,254,371,755
Chronic polyarthritis and arthrosis,2010,-,-,-,-,-,1,1,3,4,7,9,10,20,36,42,40,36,-,-,-,-,-,-,-,2,3,4,6,22,29,62,75,118,216
Diseases of the genitourinary system,2010,4,4,1,3,3,5,15,22,48,104,158,268,492,1072,1424,1947,2871,-,-,-,3,5,8,10,15,34,61,83,149,292,768,1352,2529,6018
Disorders of kidney,2010,2,4,1,1,3,5,15,17,39,87,129,225,405,878,1136,1556,2270,-,-,-,3,5,5,8,13,24,42,61,116,231,609,1084,1966,4693
"Pregnancy, childbirth and the puerperium",2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,10,10,7,3,-,-,-,-,-,-,-,-,-
Certain conditions origin. in the perinatal period,2010,651,10,-,2,2,-,1,2,-,3,-,-,-,-,-,-,-,502,6,2,3,1,1,-,-,-,1,1,1,1,-,1,-,1
"Congenital malform.,deform. a. chromosomal abnorm.",2010,326,77,24,23,21,19,22,31,28,55,52,43,33,23,12,4,6,316,75,11,18,13,11,16,26,33,44,63,39,31,22,17,16,22
Congenital malformations of the nervous system,2010,25,12,8,4,4,3,-,3,1,1,1,3,-,2,1,1,-,30,15,3,5,3,6,-,2,2,2,1,-,-,1,2,-,-
Congenital malformations of the circulatory system,2010,110,29,6,8,6,6,10,12,8,8,7,1,6,8,5,-,4,117,20,3,9,3,1,4,6,6,6,4,2,8,3,10,9,13
"Symp., signs a. abnormal clinical a. lab. findings",2010,160,40,36,50,98,151,231,476,845,1086,1193,1277,1411,1664,1332,1101,1504,92,27,22,24,41,42,70,190,261,352,392,492,663,956,1037,1521,4779
Sudden infant death syndrome,2010,103,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Other ill-defined and unknown causes of mortality,2010,56,38,36,50,95,145,224,463,823,1043,1145,1207,1326,1523,1151,817,690,31,26,21,24,38,41,67,181,249,336,379,444,604,859,845,1053,1686
External causes of morbidity and mortality,2010,34,186,467,857,909,716,833,1268,1520,1514,1398,1208,1421,1873,1779,1949,2255,19,121,195,261,198,205,213,342,485,527,462,430,619,900,1254,2040,4854
"Accidents, including their sequelae",2010,20,139,296,457,405,295,345,466,632,617,615,587,765,1102,1183,1388,1675,13,101,131,142,86,74,66,107,180,203,220,226,330,601,966,1694,4163
Transport accidents,2010,2,53,232,363,257,162,162,185,259,213,164,134,147,188,143,140,78,2,50,113,116,56,49,28,47,68,75,54,41,46,76,86,91,62
Falls,2010,3,15,9,17,32,21,39,80,108,168,184,217,305,488,619,858,1184,-,8,8,2,6,7,8,18,23,47,52,72,138,268,528,1027,2920
Accidental drowning and submersion,2010,2,30,16,12,13,10,6,9,27,22,16,21,24,32,22,19,1,1,17,2,2,3,-,1,6,6,2,5,3,8,10,21,15,9
"Exposure to smoke, fire and flames",2010,-,9,4,2,7,1,6,13,23,26,27,18,22,24,22,12,10,-,3,1,1,1,2,3,4,13,6,10,6,12,18,12,26,29
Accid. poisoning by and exposure to noxious subst.,2010,-,-,7,24,53,59,71,90,59,43,19,17,16,13,10,12,6,-,2,-,7,12,9,9,15,19,19,15,11,7,16,12,10,16
Intentional self-harm,2010,-,22,143,331,399,336,397,676,760,770,660,520,543,632,478,420,378,-,6,46,86,81,96,94,193,249,269,208,166,238,237,183,182,222
Assault,2010,12,19,15,14,18,16,20,19,23,22,13,13,12,10,4,6,2,6,10,11,15,10,17,30,15,22,18,11,8,13,12,19,10,13
Event of undetermined intent,2010,2,6,13,54,85,68,69,104,104,102,104,85,98,125,112,132,199,-,4,7,18,21,18,23,26,30,36,22,29,36,48,84,153,451
Total,2010,1294,655,762,1308,1587,1770,2680,5578,10328,15810,21865,26441,40850,62325,65215,71269,79285,1028,508,376,536,624,791,1348,3044,5565,8308,11079,14146,22289,38202,51872,83350,206680
Certain infectious and parasitic diseases,2011,14,27,13,6,25,37,72,149,207,275,392,419,561,1029,1298,1408,1618,10,17,3,13,11,25,26,50,80,131,190,239,355,825,1204,1927,4027
"Tuberculosis, including its sequelae",2011,-,-,1,1,1,1,1,7,7,11,12,18,11,19,20,35,43,-,1,-,1,-,3,3,4,2,4,4,1,6,14,23,47,41
Meningococcal infection,2011,2,3,2,2,1,-,-,-,-,-,-,-,1,-,1,-,-,1,4,-,2,-,-,-,-,-,-,-,1,1,-,1,2,1
Viral hepatitis,2011,-,-,-,-,2,7,15,25,39,56,64,54,28,64,57,54,31,-,-,-,1,1,3,4,2,14,22,19,23,33,79,80,107,84
HIV disease,2011,1,-,1,1,11,18,24,59,62,67,47,21,32,17,8,4,5,-,-,-,1,2,8,8,10,14,16,7,7,3,2,2,3,2
Neoplasms,2011,19,145,73,138,131,221,353,1010,2680,5120,8406,11403,15295,23365,21404,18578,14458,10,114,53,80,126,283,494,1309,2722,4294,6145,8221,9968,15739,15667,16858,23338
Malignant neoplasms,2011,15,135,70,135,125,212,345,986,2639,5060,8319,11229,15055,22884,20844,17929,13773,7,106,53,79,121,278,487,1293,2690,4251,6085,8107,9816,15384,15157,16113,21809
"Malignant neoplasms of lip, oral cavity, pharynx",2011,-,-,1,3,3,4,15,66,236,472,639,660,609,602,377,222,155,-,-,-,1,1,1,3,23,52,107,142,187,154,172,127,138,214
Malignant neoplasms of oesophagus,2011,-,-,-,1,1,5,9,50,133,265,480,544,614,783,524,354,203,-,-,-,-,1,-,4,7,21,50,83,122,159,178,178,174,195
Malignant neoplasms of stomach,2011,1,-,1,2,7,14,18,73,172,249,368,487,623,973,1017,917,769,-,-,-,2,5,12,27,61,110,182,198,224,339,588,626,825,1200
Malignant neoplasms of colon,2011,-,-,-,1,3,14,30,49,137,248,433,673,1000,1591,1617,1535,1299,-,-,-,3,2,9,20,50,98,183,297,428,580,1082,1265,1721,2925
"Malig. neopl. of rectum,anus,rectosigmoid junction",2011,-,-,-,1,1,8,12,39,125,204,374,481,644,957,861,660,524,-,-,-,2,3,6,11,31,66,117,165,213,268,478,557,595,967
"Malignant neoplasms of liver, bile ducts, pancreas",2011,1,4,1,3,7,15,32,97,274,578,946,1467,1976,3099,2582,1909,1253,-,1,3,1,6,10,23,66,159,307,541,891,1265,2227,2211,2246,2871
"Malig. neoplasms of liver, intrahepatic bile ducts",2011,-,4,1,1,4,7,13,33,79,181,361,545,729,1153,914,636,350,-,1,3,1,5,3,3,13,41,73,107,204,240,426,440,461,530
Malignant neoplasms of pancreas,2011,1,-,-,2,1,7,16,55,176,356,499,812,1086,1664,1402,1026,709,-,-,-,-,1,5,16,42,95,195,348,537,869,1455,1383,1410,1772
"Malig. neoplasms of larynx,trachea,bronchus,lung",2011,1,1,-,2,4,5,40,178,643,1567,2738,3569,4604,6401,5225,3949,2059,-,-,3,-,6,16,39,141,465,920,1445,1778,2052,2274,1932,1830,1602
Malignant neoplasms of bronchus and lung,2011,-,1,-,2,4,5,40,163,606,1468,2569,3391,4400,6141,5040,3813,1984,-,-,2,-,6,16,37,140,461,907,1424,1749,2024,2231,1908,1811,1565
Melanoma and other malignant neoplasms of skin,2011,-,-,3,4,8,10,18,44,101,116,140,169,244,379,319,277,264,-,-,-,1,7,11,16,46,64,71,81,106,111,188,172,200,428
Malignant melanoma of skin,2011,-,-,3,3,8,10,17,43,96,107,122,141,206,318,258,212,165,-,-,-,1,7,11,15,43,58,66,78,95,103,167,149,157,262
Malignant neoplasms of breast,2011,1,-,-,-,-,1,3,1,5,7,10,13,19,31,31,22,15,-,-,-,1,12,77,145,406,738,1053,1293,1655,1816,2624,2346,2247,3402
"Malig. neoplasms of genital organs, urinary tract",2011,1,3,-,12,10,19,23,70,200,379,776,1279,2068,3926,4468,4841,4811,-,4,4,9,16,52,75,208,454,672,921,1225,1413,2583,2511,2622,3359
Malignant neoplasms of cervix uteri,2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,29,39,93,152,168,151,158,124,179,161,169,200
"Malig. neopl. of corpus uteri,uterus, part unspec.",2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,3,27,34,79,113,184,233,454,397,374,541
Malignant neoplasms of ovary,2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,6,12,11,17,63,191,289,425,536,641,1064,936,834,809
Malignant neoplasms of prostate,2011,-,-,-,-,1,1,3,6,27,98,260,581,1093,2244,2684,3074,3252,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Malignant neoplasms of kidney, except renal pelvis",2011,1,3,-,-,1,5,5,28,74,118,236,320,391,648,609,459,325,-,3,1,-,-,4,2,2,22,53,93,127,156,334,365,451,491
Malignant neoplasms of bladder,2011,-,-,-,-,-,-,1,10,38,73,166,212,353,627,785,894,887,-,1,-,-,-,3,5,13,19,25,50,83,103,203,286,387,713
"Malig. neopl.of lymphoid,haematopoietic,rel.tissue",2011,2,42,18,51,28,43,32,90,187,324,481,686,1048,1864,1861,1593,1173,2,39,18,25,20,33,38,61,125,199,298,457,678,1373,1587,1734,1967
Leukaemia,2011,2,35,15,36,19,24,14,43,80,119,177,262,437,811,769,681,559,2,32,13,14,8,18,22,33,70,84,116,188,261,531,573,708,862
Benign neoplasms,2011,1,-,1,-,2,1,-,5,4,8,14,10,16,31,53,38,41,2,1,-,-,-,-,-,5,6,10,9,13,20,40,68,70,113
Diseases of the blood and blood-forming organs,2011,8,6,3,7,5,7,7,15,23,44,41,54,76,155,168,207,240,2,11,1,4,6,5,5,14,21,30,15,53,52,158,213,318,709
"Endocrine, nutritional and metabolic diseases",2011,18,31,7,25,32,56,65,138,282,444,621,794,996,1886,2065,2278,2649,11,33,12,19,30,39,46,69,140,201,300,393,570,1312,2120,3307,8833
Diabetes mellitus,2011,-,1,3,6,10,17,24,66,166,285,413,598,791,1591,1790,1967,2187,-,2,2,4,10,9,14,26,68,109,172,251,382,1004,1752,2710,7122
Mental and behavioural disorders,2011,-,-,3,30,84,145,158,349,524,711,706,626,646,901,1196,1822,3095,-,5,7,9,34,28,31,89,162,194,220,206,258,585,1097,2727,10465
Mental and behav. disorders due to use of alcohol,2011,-,-,2,2,17,37,84,235,430,611,628,526,440,401,209,123,52,-,-,-,1,4,9,13,48,122,172,169,149,128,134,72,50,59
Mental a.behav. dis. due to oth. psychoactive sub.,2011,-,-,1,27,66,105,70,106,72,62,36,11,7,9,2,3,1,-,-,3,6,18,15,12,26,23,9,13,5,3,4,2,3,1
Diseases of the nervous system and sensory organs,2011,35,81,33,72,49,77,87,172,272,373,443,552,781,1636,1944,2144,2007,28,60,23,38,30,41,59,107,199,260,304,425,605,1175,1608,2394,4617
Meningitis,2011,2,2,-,3,-,1,-,2,4,9,4,3,3,14,15,12,4,-,3,-,2,-,1,2,2,1,6,2,3,7,12,6,23,18
Diseases of the circulatory system,2011,21,38,35,79,95,179,358,922,2176,3587,5367,7540,10080,19573,24502,30323,40680,17,32,22,52,69,97,172,372,792,1213,1794,2790,4399,10995,19240,36983,117639
Hypertensive diseases,2011,-,1,-,2,-,11,12,38,125,189,279,365,477,1019,1398,2105,3958,2,3,-,-,2,3,4,14,36,54,95,157,299,846,1779,4052,16250
Ischaemic heart diseases,2011,1,-,2,12,21,42,134,390,1034,1893,2812,3913,4980,9281,11244,13170,15882,1,-,3,3,4,11,35,82,229,374,639,1014,1617,3868,6625,12049,35736
Acute or subsequent myocardial infarction,2011,1,-,2,12,19,38,115,309,771,1384,1976,2479,2850,4820,5130,5273,5551,-,-,1,2,4,11,26,61,186,268,443,655,970,2147,3172,5119,11491
Other forms of heart disease,2011,12,23,19,37,36,57,104,228,456,677,924,1278,1681,3487,4421,5985,9900,10,13,8,18,19,18,29,72,156,245,355,529,851,2198,4019,8581,31779
Other diseases of endocardium,2011,2,1,2,5,3,12,10,21,37,62,111,165,286,579,811,1091,1268,1,4,1,1,2,5,4,14,22,24,56,100,146,421,797,1538,3978
Cerebrovascular diseases,2011,3,9,2,11,18,27,52,118,279,393,651,968,1479,3150,4291,5207,6383,1,7,1,10,19,28,56,105,203,314,384,554,839,2219,3975,7283,20027
"Stroke, not specified as haemorrhage or infarction",2011,-,2,-,1,-,2,2,10,37,51,99,194,395,951,1395,1896,2682,1,-,-,1,-,2,2,11,7,25,60,102,202,590,1294,2778,8802
"Diseases of arteries, arterioles and capillaries",2011,1,1,4,4,8,12,19,44,97,156,286,456,716,1231,1436,1752,2255,1,2,-,1,4,7,12,21,36,64,100,174,300,649,971,1733,6309
Diseases of the respiratory system,2011,18,27,12,27,33,46,50,115,257,574,933,1605,2588,4922,5914,6969,7941,12,29,10,15,16,24,37,88,174,352,559,906,1374,2556,3516,5461,12859
Influenza,2011,2,7,2,2,3,2,5,8,16,17,19,17,10,9,6,4,7,2,4,4,2,-,3,3,2,7,10,7,6,2,4,8,4,21
Pneumonia,2011,9,8,6,9,19,15,15,41,83,131,218,351,486,1166,1576,2124,3100,4,14,3,4,4,12,14,29,41,81,82,146,229,599,985,1882,5851
Chronic lower respiratory diseases,2011,-,4,3,9,8,13,16,33,98,312,542,987,1658,2811,3187,3464,3284,-,3,2,2,6,2,8,38,88,218,375,608,946,1484,1823,2505,4398
Asthma,2011,-,4,2,5,4,7,8,12,19,21,25,48,63,70,57,61,75,-,-,1,1,5,2,6,12,19,27,25,42,46,70,87,113,238
"COVID-19, virus detected",2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"COVID-19, virus not detected",2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Diseases of the digestive system,2011,5,9,6,15,31,73,172,537,1038,1607,1838,1924,2030,3032,2845,2652,2734,2,9,5,5,20,37,74,221,442,691,809,992,1107,1901,2333,3504,7807
"Gastric, duodenal, peptic, gastrojejunal ulcer",2011,-,-,-,-,-,2,2,14,29,57,52,60,82,165,203,227,302,-,-,-,-,-,-,1,6,7,23,24,43,66,111,199,311,850
Diseases of liver,2011,-,2,1,4,12,47,108,405,794,1223,1374,1329,1216,1522,998,565,317,-,3,-,1,8,24,59,166,333,505,558,639,589,730,583,516,543
"Alcohol. liver dis.,chr. hepatitis,fibrosis,cirrh.",2011,-,-,-,2,11,44,104,391,775,1184,1335,1277,1164,1437,925,498,262,-,2,-,-,6,21,57,157,316,482,531,599,544,653,501,415,405
Diseases of the skin and subcutaneous tissue,2011,-,1,-,-,1,1,1,7,8,12,11,18,20,69,80,60,92,-,-,1,-,-,1,3,2,5,5,17,13,36,57,95,157,388
Diseases of musculoskeletal sys. a. connec. tissue,2011,1,1,2,4,9,3,5,19,20,36,59,74,95,167,164,172,206,-,2,3,3,2,4,7,9,19,38,49,70,100,221,305,391,796
Chronic polyarthritis and arthrosis,2011,-,-,-,-,-,-,-,-,1,4,11,15,16,34,47,42,55,-,-,-,-,-,-,2,1,5,5,7,15,23,65,82,137,223
Diseases of the genitourinary system,2011,-,1,-,1,6,6,9,26,43,93,156,243,497,955,1442,2010,2920,1,1,-,1,3,3,10,15,30,64,80,139,258,718,1270,2445,6221
